"自增序号","中文标题","英文标题","PDF 下载链接"
"1","MADS-CPS：面向可信 Agentic 信息物理工作流的机器可检查运行级评估契约","MADS-CPS: A Machine-Checkable Run-Level Evaluation Contract for Trustworthy Agentic Cyber-Physical Workflows","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/6_A_Machine_Checkable_Run_Leve.pdf"
"2","关于递归解析：面向自我改进 AI 系统的可扩展 Ground Truth","On Recursive Resolution: Scalable Ground Truth for Self-Improving AI Systems","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/7_D2Evolve_KDD_FINAL.pdf"
"3","ReflexBench：评估 Agentic AI 中的观察者-参与者失效与反事实可信性","ReflexBench: Evaluating Observer-Participant Failures and Counterfactual Trustworthiness in Agentic AI","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/9_ReflexBench_Evaluating_Obser%20(1).pdf"
"4","评估 Agentic 系统中的可采纳性：语义治理与高后果 Benchmark","Evaluating Admissibility in Agentic Systems: Semantic Governance and a High-Consequence Benchmark","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/10_Evaluating_Admissibility_in.pdf"
"5","StableEval Arena：面向稳定币价格稳定性预测的成本感知 Agentic Benchmark","StableEval Arena: A Cost-Aware Agentic Benchmark for Stablecoin Price Stability Prediction","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/11_StableEval_Arena_A_Cost_Awa.pdf"
"6","Quantum Circuit Vision：面向量子代码生成视觉 AI Agents 的成本感知评估","Quantum Circuit Vision: Cost-Aware Evaluation of Visual AI Agents for Quantum Code Generation","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/12_Quantum_Circuit_Vision_Cost.pdf"
"7","超越最终答案：评估工具增强 Agents 的推理轨迹","Beyond the Final Answer: Evaluating the Reasoning Trajectories of Tool-Augmented Agents","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/13_Beyond_the_Final_Answer_Eva.pdf"
"8","MacCode Lab：面向执行引导代码 Agents 的可复现单机 Harness，以及修复何时真正有帮助","MacCode Lab: A Reproducible Single-Machine Harness for Execution-Guided Code Agents, and When Repair Actually Helps","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/15_MacCode_Lab_A_Reproducible_.pdf"
"9","FinContextBench：监测个人金融 LLM Agents 中的上下文自主性漂移","FinContextBench: Monitoring Contextual Autonomy Drift in Personal Financial LLM Agents","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/16_FinContextBench_Monitoring_.pdf"
"10","Agent 评估框架比较分析：企业分析 Agents 中的稳定性、检测与发现","Comparative Analysis of Agent Evaluation Frameworks: Stability, Detection, and Discovery in Enterprise Analytics Agents","https://kdd-eval-workshop.github.io/agenticai-evaluation-kdd2026/assets/papers/19_Comparative_Analysis_of_Age.pdf"
